0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.521205466621268144e-17,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.013422818791946178e-02,2.096901240373574317e-04,1.900000000000000000e+01,1.900000000000000000e+01,3.800000000000000000e+01
2.013422818791946178e-02,1.971240075053244515e-04,1.900000000000000000e+01,1.900000000000000000e+01,3.700000000000000000e+01
2.013422818791946178e-02,1.724659222100205708e-04,2.000000000000000000e+01,1.900000000000000000e+01,3.800000000000000000e+01
2.013422818791946178e-02,1.609806221817273021e-04,1.900000000000000000e+01,2.000000000000000000e+01,3.800000000000000000e+01
2.013422818791946178e-02,1.637422945390852114e-04,1.900000000000000000e+01,1.900000000000000000e+01,3.700000000000000000e+01
2.013422818791946178e-02,1.726528121932098493e-04,1.900000000000000000e+01,1.900000000000000000e+01,3.700000000000000000e+01
2.013422818791946178e-02,1.956557082777724064e-04,1.900000000000000000e+01,1.900000000000000000e+01,3.900000000000000000e+01
2.013422818791946178e-02,2.106035570684041444e-04,2.000000000000000000e+01,1.900000000000000000e+01,3.800000000000000000e+01
2.013422818791946178e-02,1.436075792351140519e-04,1.900000000000000000e+01,1.900000000000000000e+01,3.700000000000000000e+01
2.013422818791946178e-02,1.391276230713441508e-04,1.900000000000000000e+01,1.900000000000000000e+01,3.700000000000000000e+01
2.013422818791946178e-02,1.915131777799427117e-04,1.800000000000000000e+01,2.000000000000000000e+01,3.700000000000000000e+01
2.013422818791946178e-02,1.877580151443910314e-04,1.900000000000000000e+01,1.900000000000000000e+01,3.800000000000000000e+01
2.013422818791946178e-02,1.817364676213433904e-04,1.900000000000000000e+01,1.900000000000000000e+01,3.700000000000000000e+01
2.013422818791946178e-02,1.898720425317863619e-04,1.900000000000000000e+01,1.900000000000000000e+01,3.700000000000000000e+01
2.013422818791946178e-02,1.399308677852900207e-04,1.900000000000000000e+01,1.800000000000000000e+01,3.700000000000000000e+01
2.013422818791946178e-02,1.402234918860903467e-04,1.900000000000000000e+01,1.800000000000000000e+01,3.600000000000000000e+01
4.026845637583892357e-02,7.689841816298695733e-04,7.600000000000000000e+01,7.600000000000000000e+01,1.540000000000000000e+02
4.026845637583892357e-02,7.439630679746685833e-04,7.600000000000000000e+01,7.500000000000000000e+01,1.510000000000000000e+02
4.026845637583892357e-02,6.977846994879572610e-04,7.800000000000000000e+01,7.700000000000000000e+01,1.540000000000000000e+02
4.026845637583892357e-02,6.746820211367621700e-04,7.700000000000000000e+01,7.900000000000000000e+01,1.550000000000000000e+02
4.026845637583892357e-02,6.777353274315376687e-04,7.500000000000000000e+01,7.500000000000000000e+01,1.500000000000000000e+02
4.026845637583892357e-02,6.954924651601966309e-04,7.500000000000000000e+01,7.500000000000000000e+01,1.510000000000000000e+02
4.026845637583892357e-02,7.395449045694447044e-04,7.600000000000000000e+01,7.700000000000000000e+01,1.570000000000000000e+02
4.026845637583892357e-02,7.692653362940545490e-04,7.900000000000000000e+01,7.500000000000000000e+01,1.560000000000000000e+02
4.026845637583892357e-02,6.339812541047648315e-04,7.500000000000000000e+01,7.500000000000000000e+01,1.500000000000000000e+02
4.026845637583892357e-02,6.250613794167234061e-04,7.400000000000000000e+01,7.500000000000000000e+01,1.500000000000000000e+02
4.026845637583892357e-02,7.321666266857473730e-04,7.300000000000000000e+01,7.800000000000000000e+01,1.500000000000000000e+02
4.026845637583892357e-02,7.247710547562268187e-04,7.400000000000000000e+01,7.600000000000000000e+01,1.530000000000000000e+02
4.026845637583892357e-02,7.104313937532924245e-04,7.500000000000000000e+01,7.500000000000000000e+01,1.500000000000000000e+02
4.026845637583892357e-02,7.266155632057433355e-04,7.500000000000000000e+01,7.500000000000000000e+01,1.510000000000000000e+02
